,AUROC (STD),AUROC (L),AUROC (M),AUROC (H),L ratio,M ratio,H ratio,p (L),p (M),p (H),L-WT,L-MUT,M-WT,M-MUT,H-WT,H-MUT,Tendency
ER_CC,"0.872 (0.869,0.876)",0.886,0.766,0.836,0.949,0.885,0.534,0.813,0.0,0.086,0.011,0.198,0.048,0.367,0.176,0.201,-1.281
PR_CG,"0.786 (0.781,0.791)",0.655,0.726,0.774,0.842,0.772,0.441,0.0,0.006,0.648,0.033,0.175,0.095,0.321,0.21,0.166,-0.649
HER2_CC,"0.646 (0.639,0.653)",0.606,0.63,0.634,0.114,0.252,0.265,0.697,0.836,0.908,0.176,0.023,0.309,0.104,0.285,0.103,1.392
CDH1_CC,"0.847 (0.841,0.852)",0.861,0.828,0.748,0.132,0.146,0.032,0.813,0.687,0.003,0.179,0.027,0.355,0.061,0.366,0.012,0.16
TP53_CC,"0.811 (0.807,0.815)",0.734,0.722,0.718,0.088,0.209,0.605,0.027,0.0,0.0,0.188,0.018,0.329,0.087,0.149,0.229,1.446
MAP3K1_CG,"0.722 (0.714,0.730)",0.715,0.675,0.81,0.113,0.08,0.024,0.813,0.279,0.197,0.183,0.023,0.382,0.033,0.369,0.009,-0.546
PIK3CA_CG,"0.641 (0.636,0.646)",0.592,0.672,0.597,0.456,0.35,0.219,0.243,0.505,0.075,0.112,0.094,0.27,0.145,0.296,0.083,-0.641
ARID1A_CC,"0.640 (0.622,0.657)",0.71,0.567,0.731,0.015,0.041,0.019,0.687,0.584,0.33,0.203,0.003,0.399,0.017,0.371,0.007,1.524
