,AUROC (STD),AUROC (L),AUROC (H),L ratio,H ratio,p (L),p (H),L-WT,L-MUT,H-WT,H-MUT,Tendency
ER_CC,"0.875 (0.871,0.879)",0.873,0.886,0.767,0.786,0.999,0.999,0.226,0.745,0.006,0.023,0.154
PR_CG,"0.783 (0.779,0.787)",0.79,0.55,0.664,0.643,0.058,0.058,0.326,0.645,0.01,0.019,-0.137
HER2_CC,"0.647 (0.640,0.653)",0.644,0.68,0.227,0.2,0.873,0.873,0.745,0.218,0.029,0.007,-0.227
CDH1_CG,"0.850 (0.846,0.854)",0.855,0.721,0.102,0.25,0.028,0.245,0.874,0.099,0.021,0.007,1.562
TP53_CC,"0.813 (0.810,0.817)",0.815,0.755,0.332,0.25,0.498,0.498,0.65,0.323,0.021,0.007,-0.573
MAP3K1_CG,"0.726 (0.718,0.734)",0.719,0.942,0.065,0.071,0.285,0.285,0.909,0.064,0.025,0.002,0.145
PIK3CA_CG,"0.643 (0.638,0.647)",0.641,0.682,0.316,0.536,0.928,0.928,0.666,0.307,0.013,0.015,1.323
ARID1A_CC,"0.631 (0.615,0.646)",0.628,0.885,0.026,0.071,0.293,0.293,0.947,0.025,0.025,0.002,1.526
