,AUROC (STD),AUROC (L),AUROC (H),L ratio,H ratio,p (L),p (H),L-WT,L-MUT,H-WT,H-MUT,Tendency
SMARCA4_CC,"0.749 (0.735,0.764)",0.753,0.683,0.024,0.091,0.804,0.804,0.629,0.015,0.323,0.033,2.059
TP53_CC,"0.738 (0.732,0.743)",0.719,0.647,0.37,0.793,0.331,0.013,0.406,0.239,0.074,0.282,2.7
EGFR_CG,"0.758 (0.749,0.768)",0.77,0.458,0.155,0.024,0.54,0.0,0.544,0.1,0.347,0.009,-2.871
KEAP1_CC,"0.649 (0.638,0.660)",0.708,0.568,0.094,0.104,0.163,0.176,0.584,0.061,0.319,0.037,0.152
STK11_CG,"0.663 (0.654,0.672)",0.652,0.675,0.148,0.14,0.783,0.783,0.549,0.095,0.306,0.05,-0.092
KRAS_CG,"0.617 (0.609,0.625)",0.599,0.641,0.32,0.299,0.524,0.524,0.438,0.206,0.249,0.106,-0.142
MGA_SG,"0.625 (0.607,0.642)",0.758,0.541,0.023,0.098,0.017,0.446,0.63,0.015,0.32,0.035,2.167
