,AUROC (STD),AUROC (L),AUROC (H),L ratio,H ratio,p (L),p (H),L-WT,L-MUT,H-WT,H-MUT,Tendency
MSI_CG,"0.889 (0.883,0.895)",,,0.0,1.0,,,0.771,0.0,0.0,0.229,24.213
BRAF_CG,"0.774 (0.764,0.785)",0.5,0.551,0.025,0.52,0.002,0.444,0.745,0.019,0.113,0.123,5.412
TP53_CC,"0.717 (0.711,0.722)",0.535,0.381,0.593,0.28,0.256,0.152,0.311,0.453,0.17,0.066,-1.902
RNF43_CC,"0.733 (0.720,0.747)",0.825,0.417,0.012,0.52,0.001,0.115,0.755,0.009,0.113,0.123,6.423
APC_CG,"0.662 (0.654,0.669)",0.613,0.573,0.827,0.4,0.158,0.387,0.132,0.632,0.142,0.094,-2.842
ATM_SG,"0.660 (0.647,0.672)",0.734,0.239,0.025,0.08,0.104,0.016,0.745,0.019,0.217,0.019,1.78
SOX9_CG,"0.636 (0.625,0.648)",0.642,0.522,0.111,0.08,0.601,0.601,0.679,0.085,0.217,0.019,-0.518
KRAS_CG,"0.604 (0.598,0.611)",0.606,0.833,0.42,0.04,0.844,0.041,0.443,0.321,0.226,0.009,-4.104
PIK3CA_CG,"0.605 (0.600,0.611)",0.499,0.817,0.148,0.28,0.033,0.164,0.651,0.113,0.17,0.066,1.161
