,AUROC (STD),AUROC (L),AUROC (H),L ratio,H ratio,p (L),p (H),L-WT,L-MUT,H-WT,H-MUT,Tendency
MSI_CG,"0.889 (0.883,0.895)",0.739,0.815,0.007,0.803,0.0,0.238,0.84,0.006,0.03,0.123,9.134
BRAF_CG,"0.774 (0.764,0.785)",0.652,0.673,0.035,0.474,0.0,0.279,0.818,0.03,0.08,0.072,4.62
TP53_CC,"0.717 (0.711,0.722)",0.725,0.498,0.631,0.329,0.463,0.0,0.313,0.535,0.102,0.05,-1.8
RNF43_CC,"0.733 (0.720,0.747)",0.624,0.546,0.019,0.316,0.0,0.189,0.832,0.016,0.104,0.048,4.587
APC_CG,"0.662 (0.654,0.669)",0.615,0.693,0.76,0.382,0.0,0.62,0.204,0.645,0.094,0.058,-2.359
ATM_SG,"0.660 (0.647,0.672)",0.614,0.651,0.045,0.276,0.16,0.992,0.81,0.038,0.11,0.042,3.028
SOX9_CG,"0.636 (0.625,0.648)",0.633,0.515,0.101,0.066,0.587,0.587,0.762,0.086,0.142,0.01,-0.674
KRAS_CG,"0.604 (0.598,0.611)",0.639,0.39,0.419,0.329,0.001,0.001,0.493,0.355,0.102,0.05,-0.556
PIK3CA_CG,"0.605 (0.600,0.611)",0.609,0.554,0.224,0.395,0.879,0.879,0.659,0.19,0.092,0.06,1.18
