,AUROC (STD),AUROC (L),AUROC (H),L ratio,H ratio,p (L),p (H),L-WT,L-MUT,H-WT,H-MUT,Tendency
ER_CC,"0.875 (0.871,0.879)",0.788,1.0,0.691,0.625,0.397,0.502,0.288,0.644,0.025,0.042,-0.425
PR_CG,"0.783 (0.779,0.787)",0.763,1.0,0.629,0.25,0.412,0.412,0.345,0.584,0.053,0.018,-2.339
HER2_CC,"0.647 (0.640,0.653)",0.577,,0.148,0.0,0.9,,0.789,0.137,0.074,0.0,-6.926
CDH1_CG,"0.850 (0.846,0.854)",0.856,1.0,0.062,0.125,0.37,0.37,0.875,0.058,0.058,0.008,1.11
TP53_CC,"0.813 (0.810,0.817)",0.821,0.867,0.393,0.625,0.992,0.992,0.567,0.367,0.025,0.042,1.363
MAP3K1_CG,"0.726 (0.718,0.734)",0.608,0.429,0.062,0.125,0.34,0.34,0.875,0.058,0.058,0.008,1.11
PIK3CA_CG,"0.643 (0.638,0.647)",0.537,0.5,0.304,0.5,0.922,0.922,0.65,0.283,0.033,0.033,1.198
ARID1A_CC,"0.631 (0.615,0.646)",0.41,0.429,0.027,0.125,0.286,0.286,0.908,0.025,0.058,0.008,2.383
