,AUROC (STD),AUROC (L),AUROC (H),L ratio,H ratio,p (L),p (H),L-WT,L-MUT,H-WT,H-MUT,Tendency
SMARCA4_CC,"0.749 (0.735,0.764)",0.788,0.31,0.053,0.033,0.199,0.032,0.679,0.038,0.274,0.009,-0.678
TP53_CC,"0.738 (0.732,0.743)",0.752,0.549,0.408,0.8,0.778,0.022,0.425,0.292,0.057,0.226,2.536
EGFR_CG,"0.758 (0.749,0.768)",0.79,,0.447,0.0,0.868,,0.396,0.321,0.283,0.0,-11.246
KEAP1_CC,"0.649 (0.638,0.660)",0.451,0.379,0.066,0.033,0.817,0.817,0.67,0.047,0.274,0.009,-1.019
STK11_CG,"0.663 (0.654,0.672)",0.615,0.77,0.092,0.367,0.233,0.491,0.651,0.066,0.179,0.104,2.511
KRAS_CG,"0.617 (0.609,0.625)",0.724,0.54,0.211,0.533,0.193,0.193,0.566,0.151,0.132,0.151,2.099
MGA_SG,"0.625 (0.607,0.642)",0.773,,0.013,0.0,0.417,,0.708,0.009,0.283,0.0,-5.337
