File ID	File Name	Data Category	Data Type	Project ID	Case ID	Sample ID	Sample Type
93a0d268-ae57-4542-b494-03f7c7806e02	TCGA-A5-A0GB-01Z-00-DX1.5B2568B9-F9D6-41AC-A5E9-695A3E7BA751.svs	Biospecimen	Slide Image	TCGA-UCEC	TCGA-A5-A0GB	TCGA-A5-A0GB-01Z	Primary Tumor
e6618fb1-4cd9-495a-b36f-53f35fd7afd8	TCGA-AP-A05P-01Z-00-DX1.370E726B-B416-4743-A480-996AD020527A.svs	Biospecimen	Slide Image	TCGA-UCEC	TCGA-AP-A05P	TCGA-AP-A05P-01Z	Primary Tumor
ed2b4c87-2bbf-4484-82d0-7f97ec5ec35b	TCGA-AP-A1DO-01Z-00-DX1.36C905C5-7FA6-48E3-8CFF-7AFC75B33A49.svs	Biospecimen	Slide Image	TCGA-UCEC	TCGA-AP-A1DO	TCGA-AP-A1DO-01Z	Primary Tumor
9b59d2c2-837c-404c-84da-ceae4309c400	TCGA-EY-A549-01Z-00-DX1.137D940A-210D-4DBA-B204-E9995D4F1FB7.svs	Biospecimen	Slide Image	TCGA-UCEC	TCGA-EY-A549	TCGA-EY-A549-01Z	Primary Tumor
57355397-0607-477d-9590-9ded6089814b	TCGA-AX-A1CA-01Z-00-DX1.B1D82CB5-F601-4E6A-B60E-08EDF11BC5BF.svs	Biospecimen	Slide Image	TCGA-UCEC	TCGA-AX-A1CA	TCGA-AX-A1CA-01Z	Primary Tumor
af77b348-636f-4608-bf6b-9f432eb14678	TCGA-EO-A3L0-01Z-00-DX1.2DD3D114-3D4F-4DD0-A0F0-4F5B9E64D1D0.svs	Biospecimen	Slide Image	TCGA-UCEC	TCGA-EO-A3L0	TCGA-EO-A3L0-01Z	Primary Tumor
9c929f4d-cafd-4db9-8467-8d15f15d1bb2	TCGA-AJ-A3BF-01Z-00-DX1.33BB61EB-231D-42B1-BB02-5A956DE6ED1E.svs	Biospecimen	Slide Image	TCGA-UCEC	TCGA-AJ-A3BF	TCGA-AJ-A3BF-01Z	Primary Tumor
b10fd433-9907-4424-a1c8-e29f6bdba3d1	TCGA-FI-A2F4-01Z-00-DX1.244933F2-B64B-434F-91C8-C90B73B2B4E2.svs	Biospecimen	Slide Image	TCGA-UCEC	TCGA-FI-A2F4	TCGA-FI-A2F4-01Z	Primary Tumor
4a633503-3495-4df6-a408-2fd502c02e8b	TCGA-FI-A3PX-01Z-00-DX1.BB77FF06-B7BC-411C-9086-7F8EB7FE74F4.svs	Biospecimen	Slide Image	TCGA-UCEC	TCGA-FI-A3PX	TCGA-FI-A3PX-01Z	Primary Tumor
227f7676-037c-4917-ba43-45688765df69	TCGA-BG-A0M6-01Z-00-DX1.8FF734BF-6835-45DF-A776-7F3F670DBA19.svs	Biospecimen	Slide Image	TCGA-UCEC	TCGA-BG-A0M6	TCGA-BG-A0M6-01Z	Primary Tumor
971a7aaf-d348-4630-a9ea-2e8eb2a9ca8f	TCGA-AX-A05T-01Z-00-DX1.E1BE0BB7-D2D6-4E8B-9603-27C9B63BD4D6.svs	Biospecimen	Slide Image	TCGA-UCEC	TCGA-AX-A05T	TCGA-AX-A05T-01Z	Primary Tumor
39edea09-79dc-4574-a32c-e43123de9b86	TCGA-AX-A1CK-01Z-00-DX1.7B514E08-5739-44FA-B2C7-3E3002637537.svs	Biospecimen	Slide Image	TCGA-UCEC	TCGA-AX-A1CK	TCGA-AX-A1CK-01Z	Primary Tumor
265b0d0e-e32d-4705-8c8f-d413dd3f428f	TCGA-FI-A2D2-01Z-00-DX1.D14E7B6C-DD07-4FE3-A23D-3B62B4346A00.svs	Biospecimen	Slide Image	TCGA-UCEC	TCGA-FI-A2D2	TCGA-FI-A2D2-01Z	Primary Tumor
72334e06-1946-42ee-a873-01945bfe4376	TCGA-AP-A1E3-01Z-00-DX1.8B976D7C-0952-4DD0-B2C2-1AD493EE59E5.svs	Biospecimen	Slide Image	TCGA-UCEC	TCGA-AP-A1E3	TCGA-AP-A1E3-01Z	Primary Tumor
292ff383-150d-4757-bfcc-0daf15c4cd9c	TCGA-AW-A1PO-01Z-00-DX1.43719BD6-1D42-40F7-A129-F245B1692E2E.svs	Biospecimen	Slide Image	TCGA-UCEC	TCGA-AW-A1PO	TCGA-AW-A1PO-01Z	Primary Tumor
46d6c539-960a-4a7b-ae7a-9e3dcfbe744a	TCGA-B5-A11E-01Z-00-DX1.5B371781-5370-4411-9C8B-178BF6691D8A.svs	Biospecimen	Slide Image	TCGA-UCEC	TCGA-B5-A11E	TCGA-B5-A11E-01Z	Primary Tumor
cec5e272-6041-45e4-979b-79bb1d1ade58	TCGA-A5-A0GI-01Z-00-DX1.4217BD99-8B44-4A9F-9472-23B0636FF0D2.svs	Biospecimen	Slide Image	TCGA-UCEC	TCGA-A5-A0GI	TCGA-A5-A0GI-01Z	Primary Tumor
324dffa4-46f3-451f-b04e-c03fd2ca9b9a	TCGA-A5-A0R6-01Z-00-DX1.4AFF4E99-BAB8-46CE-9F8B-324BAE904573.svs	Biospecimen	Slide Image	TCGA-UCEC	TCGA-A5-A0R6	TCGA-A5-A0R6-01Z	Primary Tumor
34d0cb82-5400-4f4a-8db6-8186f998b1d7	TCGA-EO-A22U-01Z-00-DX1.EA352123-3B7C-4FDB-97CD-44F8377B33A0.svs	Biospecimen	Slide Image	TCGA-UCEC	TCGA-EO-A22U	TCGA-EO-A22U-01Z	Primary Tumor
7775ca6d-863c-49e3-8a4b-658a91fbf4ef	TCGA-B5-A11F-01Z-00-DX1.3F1C053D-E81E-4C8D-965D-6F3DE29D9511.svs	Biospecimen	Slide Image	TCGA-UCEC	TCGA-B5-A11F	TCGA-B5-A11F-01Z	Primary Tumor
9b74f779-e9fe-48d3-bb6f-cb1069cc1446	TCGA-D1-A167-01Z-00-DX1.BD6521DB-9149-4B49-8A15-F395C1A2DC7C.svs	Biospecimen	Slide Image	TCGA-UCEC	TCGA-D1-A167	TCGA-D1-A167-01Z	Primary Tumor
fd14ce06-72e9-4de6-8138-e9e8a10de253	TCGA-AJ-A6NU-01Z-00-DX1.F3B7E214-C909-4EBC-804E-B4597472F100.svs	Biospecimen	Slide Image	TCGA-UCEC	TCGA-AJ-A6NU	TCGA-AJ-A6NU-01Z	Primary Tumor
9e2d39e0-c492-4d55-af61-cdb84b7eb456	TCGA-B5-A0K1-01Z-00-DX1.943364EC-5CA3-4969-BEB1-435F672B5137.svs	Biospecimen	Slide Image	TCGA-UCEC	TCGA-B5-A0K1	TCGA-B5-A0K1-01Z	Primary Tumor
86fb88cd-26c9-44a2-9dca-a4206e2de45e	TCGA-E6-A1LX-01Z-00-DX1.84904F59-14B6-41B2-8382-570F492342F3.svs	Biospecimen	Slide Image	TCGA-UCEC	TCGA-E6-A1LX	TCGA-E6-A1LX-01Z	Primary Tumor
49bc87f8-1fe8-4641-b364-9d2efd8ddca4	TCGA-AP-A0LT-01Z-00-DX1.74C269EA-3118-4E65-AAFE-C1D186EAC207.svs	Biospecimen	Slide Image	TCGA-UCEC	TCGA-AP-A0LT	TCGA-AP-A0LT-01Z	Primary Tumor
1dd1f090-d15e-4842-a32e-c84c5796d009	TCGA-AP-A05O-01Z-00-DX1.F9B71B49-2866-49E9-9CA9-0042334977C2.svs	Biospecimen	Slide Image	TCGA-UCEC	TCGA-AP-A05O	TCGA-AP-A05O-01Z	Primary Tumor
bc30050d-5cae-4b70-844d-c3c8533c4711	TCGA-BG-A2AD-01Z-00-DX1.C4D6EFAB-3322-4494-920D-AC8FDB3D8503.svs	Biospecimen	Slide Image	TCGA-UCEC	TCGA-BG-A2AD	TCGA-BG-A2AD-01Z	Primary Tumor
35aa9318-2674-4292-86f5-7af92551467d	TCGA-A5-A0G9-01Z-00-DX1.83B6D8A7-9FD8-4421-B71B-D8B90AA6D4F8.svs	Biospecimen	Slide Image	TCGA-UCEC	TCGA-A5-A0G9	TCGA-A5-A0G9-01Z	Primary Tumor
b0ae4006-769f-4191-a500-dc35134a9a8f	TCGA-A5-A0G2-01Z-00-DX1.B7E400A1-12DB-42D1-AF42-D46D5CF107B2.svs	Biospecimen	Slide Image	TCGA-UCEC	TCGA-A5-A0G2	TCGA-A5-A0G2-01Z	Primary Tumor
2d948ab4-69d1-4fbd-8fe8-47a8b8984dda	TCGA-AX-A05T-01Z-00-DX2.F0515861-5D5D-4EE2-B885-FD80353A3AF0.svs	Biospecimen	Slide Image	TCGA-UCEC	TCGA-AX-A05T	TCGA-AX-A05T-01Z	Primary Tumor
8017d3dc-f571-4ff7-a3ef-14f7b422cfa8	TCGA-SL-A6JA-01Z-00-DX1.5D844B94-AD82-4285-88A4-9EAB046DDCC2.svs	Biospecimen	Slide Image	TCGA-UCEC	TCGA-SL-A6JA	TCGA-SL-A6JA-01Z	Primary Tumor
53fc876e-95ec-42f9-bce3-9e5497f084e4	TCGA-EY-A547-01Z-00-DX1.BBB65F45-F107-4DF1-939F-4E79ED3D982D.svs	Biospecimen	Slide Image	TCGA-UCEC	TCGA-EY-A547	TCGA-EY-A547-01Z	Primary Tumor
11e5e9de-66d9-4d44-85d6-da9306c88adc	TCGA-JU-AAVI-01Z-00-DX1.35992BA3-2E87-4584-B2A9-B1DE21C66E04.svs	Biospecimen	Slide Image	TCGA-UCEC	TCGA-JU-AAVI	TCGA-JU-AAVI-01Z	Primary Tumor
efee6dcb-363b-4f60-a50a-f2eb32a9c168	TCGA-B5-A3S1-01Z-00-DX1.C730ECCC-33CC-48EB-B25B-53E6926217E9.svs	Biospecimen	Slide Image	TCGA-UCEC	TCGA-B5-A3S1	TCGA-B5-A3S1-01Z	Primary Tumor
576edcee-1165-456a-9140-2e709242abfd	TCGA-AJ-A8CW-01Z-00-DX1.429636B9-E0C8-4AC1-96EA-08FE5865C44B.svs	Biospecimen	Slide Image	TCGA-UCEC	TCGA-AJ-A8CW	TCGA-AJ-A8CW-01Z	Primary Tumor
